Stationcode,Locations,Lat,Lon,Capitalcity,State,Temperature,D.O,pH,Conductivity,B.O.D,Nitrate,Fecalcaliform,Totalcaliform,class,Unnamed: 15
1353,GOMTI AT JAUNPUR D/S,25.7490034,82.6987001,Lucknow,UTTAR PRADESH,23.1,7.3,7.9,255,4.3,,17000,21000.0,yes,
1072,GOMTI AT VARANASI,25.3176452,82.9739144,Lucknow,UTTAR PRADESH,22.8,7.5,7.7,244,4.0,,13000,17000.0,yes,
2491,"RAPTI AT RAJGHAT, GORAKHPUR",26.7459763,83.3529247,Lucknow,UTTAR PRADESH,24.0,7.5,8.1,387,3.6,0.55,158,363.0,no,
1363,"RAPTI A/C R. HONIN NR. DOMINGARH RLY BDG, GORAKHPUR",27.1937377,83.1747783,Lucknow,UTTAR PRADESH,23.5,7.7,8.2,370,2.8,0.39,75,198.0,no,
1354,SARYU AT AYODHYA AT MAIN BATHING GHAT,26.7879633,82.1985518,Lucknow,UTTAR PRADESH,18.5,9.1,7.7,226,2.6,0.62,4091,6509.0,yes,
1355,GHAGHARA AT DEORIA D/S,26.4862373,83.7838213,Lucknow,UTTAR PRADESH,23.8,7.7,8.2,421,2.8,0.44,118,295.0,no,
2492,"GHAGHRA AT BARHALGANJ, GORAKHPUR",26.2845823,83.506611,Lucknow,UTTAR PRADESH,23.5,7.6,8.1,425,3.0,0.50,153,328.0,no,
1076,GHAGHARA NEAR CHAPRA,25.7795649,84.7498885,Patna,BIHAR,21.1,8.8,7.8,297,2.6,,1229,2543.0,yes,
1359,RIHAND AT RENUKUT U/S,24.2182429,83.0346073,Lucknow,UTTAR PRADESH,26.2,7.6,7.7,178,1.4,0.82,1100,1800.0,yes,
1360,RIHAND AT RENUKUT D/S,24.2182429,83.0346073,Lucknow,UTTAR PRADESH,26.3,7.2,7.7,185,2.1,0.89,1300,2142.0,yes,
1075,SONE AT KOELWAR,25.5792683,84.7915998,Patna,BIHAR,23.2,8.1,7.9,251,2.6,1.38,1056,2300.0,yes,
1078,"GANDAK AT SONEPUR, PATNA (BEFORE CONFL.)",25.6983676,85.1660825,Patna,BIHAR,21.7,8.5,7.8,262,2.6,1.38,989,1844.0,yes,
2568,"GANDAK AT REWAGHAT, MUJAFFARPUR",25.9857298,85.042994,Patna,BIHAR,24.0,7.0,8.7,343,2.5,1.38,500,1100.0,no,
2570,GANDAK AT SAMASTIPUR ROAD BRIDGE,25.8629679,85.7810263,Patna,BIHAR,23.5,6.9,7.7,290,2.6,1.38,1000,2300.0,yes,
2575,"SIKRAHNA RIVER AT LAL PARSE, BITTIAH",26.8028048,84.5169756,Patna,BIHAR,24.3,7.8,8.1,330,2.7,1.38,1200,2733.0,no,
1820,SIKRANA AT CHANPATIYA,26.9445192,84.5379454,Patna,BIHAR,22.7,7.9,8.2,331,2.7,1.38,1267,2600.0,no,
2562,"BURHI GANDAK AT AKHARAGHAT, MUZAFFARPUR",26.1337646,85.3876454,Patna,BIHAR,24.7,7.6,8.0,480,2.7,1.38,1033,2500.0,no,
2558,HARBORA RIVER AT NARKATIAGANJ,27.1059249,84.4645183,Patna,BIHAR,24.0,6.5,8.0,469,5.8,1.38,2167,5067.0,yes,
2567,KAMALA RIVER AT BENIPATTI (MADHUBANI),26.4465698,85.9074525,Patna,BIHAR,24.0,7.6,7.6,218,2.7,1.38,800,1750.0,yes,
2569,KAMALA RIVER AT DARBHANGA,26.111868,85.896003,Patna,BIHAR,24.0,7.5,7.5,214,2.7,1.38,1050,1950.0,yes,
2563,"MANUSMAR RIVER AT RIGA, SITAMARHI",26.6499077,85.4298197,Patna,BIHAR,24.3,5.8,8.0,368,5.3,1.38,1067,3167.0,yes,
2565,KOSHI RIVER AT KURSHELA AT KATIHAR,25.552048,87.57186,Patna,BIHAR,28.0,6.5,7.8,286,2.7,1.38,1050,2400.0,yes,
2566,KOSHI RIVER AT MADHEPURA,25.8674343,86.9423801,Patna,BIHAR,26.7,6.8,7.6,375,2.7,1.38,1600,2967.0,yes,
1821,DAHA AT SIWAM,26.2196205,84.3566593,Patna,BIHAR,24.7,7.6,7.8,361,2.7,1.38,900,2100.0,yes,
2560,D/S DAHA RIVER AT SASAMUSA,26.5248393,84.3581483,Patna,BIHAR,22.0,7.6,7.4,445,2.7,1.38,4267,10667.0,yes,
2561,"DAHA RIVER AT ITWA BRIDGE, SIWAN",26.2196205,84.3566593,Patna,BIHAR,24.0,8.0,8.0,391,2.7,1.38,1433,2733.0,yes,
1823,DHOUS AT MADHUBANI,26.4627955,86.1751759,Patna,BIHAR,25.0,6.8,7.8,212,2.9,1.38,1700,5000.0,yes,
1824,FARMAR AT JOGBANI,26.3991195,87.2568579,Patna,BIHAR,26.5,7.0,7.6,332,3.0,1.38,900,1950.0,yes,
2559,RAM REKHA RIVER AT HARINAGAR,26.3991195,87.2568579,Patna,BIHAR,24.0,5.8,7.9,468,6.9,1.38,4600,11333.0,yes,
1822,SIRSA AT RUXOL,26.3991195,87.2568579,Patna,BIHAR,25.0,2.5,7.6,962,9.5,1.38,9000,21333.0,yes,
1510,TONS RIVER,30.8919211,77.2103359,Shimla,HIMACHAL PRADESH,11.7,9.3,7.4,68,0.6,0.13,5,22.0,yes,
2620,ASHWANI AT U/S YASHWANT NAGAR,30.8919211,77.2103359,Shimla,HIMACHAL PRADESH,22.7,8.0,8.2,269,0.7,0.79,24,51.0,no,
2626,BATTA AT U/S PAONTA,30.445283,77.602056,Shimla,HIMACHAL PRADESH,21.4,8.3,7.7,324,1.2,0.31,9,17.0,yes,
2627,BATTA B/C TO YAMUNA,30.445283,77.602056,Shimla,HIMACHAL PRADESH,22.0,8.4,7.9,331,1.2,0.36,9,17.0,yes,
2621,GIRI AT D/S YASHWANT NAGAR,30.8919211,77.2103359,Shimla,HIMACHAL PRADESH,21.5,8.1,8.1,174,0.8,0.49,31,63.0,no,
2622,GIRI AT U/S CCI MINES,30.8919211,77.2103359,Shimla,HIMACHAL PRADESH,20.9,8.5,7.7,511,1.0,0.31,6,12.0,yes,
2623,GIRI D/S SATAUN,30.8919211,77.2103359,Shimla,HIMACHAL PRADESH,20.7,8.6,7.9,509,1.2,0.38,6,13.0,yes,
2617,PABBAR AT U/S DHAMBARI,31.1994153,77.745655,Shimla,HIMACHAL PRADESH,12.4,9.5,7.4,49,0.3,0.12,2,15.0,yes,
2618,PABBAR AT U/S ROHRU,31.1994153,77.745655,Shimla,HIMACHAL PRADESH,11.9,8.8,7.5,65,0.4,0.19,28,19.0,yes,
2619,PABBAR AT D/S SWARAKUDDU,31.0696572,77.8199313,Shimla,HIMACHAL PRADESH,11.3,9.4,7.5,68,0.5,0.12,4,10.0,yes,
1477,KALINADI AT U/S  MUZAFFAR NAGAR,29.4726817,77.7085091,Lucknow,UTTAR PRADESH,,,7.9,461,2.7,2.44,9500,141500.0,yes,
1478,KALINADI AT D/S MUZAFFAR NAGAR,29.4726817,77.7085091,Lucknow,UTTAR PRADESH,,,7.7,1253,222.0,2.24,77000000,670000000.0,yes,
1483,"HINDON A/C WITH R. KRISHNA & KALI NEAR BINAULI TOWN, MEERUT",28.9844618,77.7064136,Lucknow,UTTAR PRADESH,,,7.8,392,24.3,1.74,23000000,9150000.0,yes,
2496,"HINDON AT SARDHANA BUDHANA ROAD, VILLAGE BAPARSI, MEERUT",28.9844618,77.7064136,Lucknow,UTTAR PRADESH,20.4,,7.3,738,43.5,4.53,170000,227500.0,yes,
1358,HINDON AT GHAZIABAD D/S,28.9844618,77.7064136,Lucknow,UTTAR PRADESH,19.8,1.5,7.2,568,16.4,0.65,119364,174545.0,yes,
2107,"BETWA U/S, BEENA",23.3714266,79.0899245,Bhopal,MADHYA PRADESH,25.8,7.8,7.9,360,1.4,,,8.0,yes,
2108,"BETWA D/S, BEENA",23.3714266,79.0899245,Bhopal,MADHYA PRADESH,26.0,7.8,8.0,445,1.6,,,8.0,yes,
2119,"BETWA AT NAYAPUR D/S MANDIDEEP INDL. AREA NO.1, .RAISEN",23.1635108,77.4099383,Bhopal,MADHYA PRADESH,,,7.6,902,37.7,4.26,806,1183.0,yes,
2121,"BETWA NEAR ROAD BDG, BHOJPUR",23.099165,77.578419,Bhopal,MADHYA PRADESH,,10.6,7.6,634,4.1,1.28,6,146.0,yes,
2122,BETWA NEAR W/S INTAKE WELL POINT RAISEN,23.5251102,77.8081363,Bhopal,MADHYA PRADESH,,7.5,7.9,646,2.0,0.93,4,50.0,yes,
1614,"BETWA NEAR INTAKE POINT, VIDISHA",23.5251102,77.8081363,Bhopal,MADHYA PRADESH,36.0,7.8,7.9,436,3.4,1.35,3,58.0,yes,
2124,"BETWA AT CHARANTIRGHAT, VIDISHA",23.5251102,77.8081363,Bhopal,MADHYA PRADESH,35.5,7.2,7.9,643,3.3,4.37,12,934.0,yes,
2125,BETWA D/S AFTER MIXING BAIS AT VIDISHA,23.5251102,77.8081363,Bhopal,MADHYA PRADESH,35.0,7.1,8.1,734,3.9,1.89,8,512.0,no,
1735,GOVIND SAGAR,23.8268406,78.7376236,Lucknow,UTTAR PRADESH,25.5,7.2,8.3,183,1.7,0.00,2150,12250.0,no,
1356,BETWA B/C YAMUNA AT HAMIRPUR,27.1522901,80.8294746,Lucknow,UTTAR PRADESH,24.2,7.1,8.1,428,3.7,0.06,13467,30833.0,no,
2120,"KALIASOT NR RD BDG, MANDIDEEP",23.0987029,77.5050016,Bhopal,MADHYA PRADESH,,8.8,7.5,691,5.4,,7,70.0,yes,
1613,"KOLAR DAM WATER SUPPLY INTAKE WELL, DISTT. SEHORE",23.205012,77.085078,Bhopal,MADHYA PRADESH,37.0,8.1,7.7,375,1.9,0.46,7,65.0,yes,
1365,CHAMBAL AT NAGDA U/S (WATER INTAKE POINT) ,23.4601232,75.4119263,Bhopal,MADHYA PRADESH,28.4,6.6,7.7,416,2.5,1.23,,,yes,
1366,CHAMBAL AT NAGDA D/S,23.4601232,75.4119263,Bhopal,MADHYA PRADESH,28.9,5.6,7.4,5357,18.4,2.89,,,yes,
2955,"CHAMBAL ENTERING IN RAJASTHAN AT GANDHI SAGAR DAM, KOTA",24.7000766,75.552632,Jaipur,RAJASTHAN,27.5,5.5,8.2,368,1.3,0.23,3,10.0,no,
1418,"CHAMBAL AT GANDHI SAGAR DAM, RAMPURA",24.3150317,77.1553516,Bhopal,MADHYA PRADESH,25.8,7.4,7.4,380,2.0,0.60,,,yes,
1288,CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE),24.7000766,75.552632,Jaipur,RAJASTHAN,28.5,5.9,7.8,388,1.5,0.38,3,7.0,yes,
1289,CHAMBAL AT KOTA D/S,24.7000766,75.552632,Jaipur,RAJASTHAN,26.8,5.5,8.1,515,2.1,0.43,5,107.0,no,
1413,CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR,26.0377772,76.3521514,Jaipur,RAJASTHAN,26.0,5.6,8.0,473,1.0,0.62,3,6.0,yes,
1609,CHAMBAL AT DHOLPUR,26.6604023,77.9039189,Bhopal,MADHYA PRADESH,25.1,8.0,7.6,665,2.1,0.48,,,yes,
1376,CHAMBAL AT ETAWAH B/C YAMUNA,26.8117116,79.0046898,Lucknow,UTTAR PRADESH,27.6,9.2,8.3,572,1.8,,5240,15460.0,no,
1432,PARVATI NEAR VILLAGE BATAODAPAR,23.5024937,77.134135,Bhopal,MADHYA PRADESH,27.5,8.4,7.6,342,2.1,,,,yes,
1615,PARVATI NEAR INTAKE POINT PILLUKHEDI DISTT. RAJGARH,23.5024937,77.134135,Bhopal,MADHYA PRADESH,27.8,7.7,7.6,618,2.6,,,,yes,
2126,"PARVATI A/C OF VINDHYACHAL NALLA, PILUKHEDI",23.5024937,77.134135,Bhopal,MADHYA PRADESH,22.6,7.2,7.6,474,3.4,1.92,75,422.0,yes,
2954,"PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI, KOTA",25.6816594,76.4758974,Jaipur,RAJASTHAN,26.5,5.8,8.4,471,1.5,0.52,6,49.0,no,
1607,"GOHAD DAM, GOHAD",26.4290952,78.4303664,Bhopal,MADHYA PRADESH,23.3,7.8,7.5,642,2.4,0.40,,,yes,
1367,KHAN AT KABIT KHEDI (NR INDORE) ,22.7688201,75.907417,Bhopal,MADHYA PRADESH,,8.6,7.6,219,1.3,0.03,,34.0,yes,
1369,KSHIPRA AT RAMGHAT AT UJJAIN,23.18866,75.764912,Bhopal,MADHYA PRADESH,27.3,6.1,8.2,1015,13.7,1.60,,,no,
1370,KSHIPRA AT TRIVENISANGAM ,22.9678988,75.9175657,Bhopal,MADHYA PRADESH,27.7,6.9,7.6,913,9.0,3.01,,,yes,
1468,KSHIPRA AT SIDDHAWAT (D/S),23.2113297,75.7746257,Bhopal,MADHYA PRADESH,27.6,5.9,7.9,1053,12.3,1.95,,,yes,
2953,"KALI SINDH AT ANICUT OF M/S CFCL GADEPAN, KOTA",24.6216104,76.1915487,Jaipur,RAJASTHAN,25.5,5.4,7.9,421,1.3,0.67,5,14.0,yes,
2956,"KALI SINDH AT BAROD RD BDG, KOTA",22.3189132,73.2135032,Jaipur,RAJASTHAN,26.2,5.5,8.2,535,1.7,0.57,4,13.0,no,
1608,SINDH AT DABRA,25.8907463,78.3324511,Bhopal,MADHYA PRADESH,22.3,8.0,8.0,897,1.9,0.40,,,yes,
2117,"BICHIA, BRIDGE GOVINDGARH ROAD",28.3049982,81.1533868,Bhopal,MADHYA PRADESH,23.1,5.7,7.7,884,6.5,2.80,162,683.0,yes,
1433,SANKH AT TIGRA RESERVOIR,25.8907463,78.3324511,Bhopal,MADHYA PRADESH,22.6,7.7,7.6,693,2.0,0.30,,,yes,
2950,"BANAS, DHANARI DAM, NEAR SWAROOPGANJ, SIROHI",24.6552948,72.9259012,Jaipur,RAJASTHAN,23.9,5.3,7.8,538,2.5,0.33,4,12.0,yes,
2952,"BANAS NEAR NEWTA DAM, JAIPUR",26.8016678,75.681929,Jaipur,RAJASTHAN,28.4,3.0,8.0,1547,12.5,0.52,8,278.0,yes,
2951,"BANAS, BISULPUR DAM, TONK",25.9246602,75.456048,Jaipur,RAJASTHAN,22.1,5.9,8.3,290,1.9,0.19,4,19.0,no,
2945,"CHHAPI, U/S CHHAPI DAM",24.3151711,76.4635387,Jaipur,RAJASTHAN,27.0,5.5,8.2,461,1.4,0.51,3,26.0,no,
2946,UJAD U/S BHIM SAGAR DAM,26.847017,75.817606,Jaipur,RAJASTHAN,26.5,5.4,8.0,349,2.0,0.37,4,28.0,yes,
2382,DAMODAR AT PHUSRO ROAD BDG.,23.3883003,85.3229992,Ranchi,JHARKHAND,25.0,7.3,7.5,,3.4,,,,yes,
2383,DAMODAR U/S JAMADOVA,23.7159474,86.4136687,Ranchi,JHARKHAND,30.2,7.1,7.5,,2.6,,,,yes,
2384,DAMODAR D/S SINDRI,23.7483096,86.7058637,Ranchi,JHARKHAND,32.9,7.1,7.6,,2.6,,,,yes,
2391,DAMODAR AT PANCHET DAM,23.6811286,86.7474518,Ranchi,JHARKHAND,34.0,7.5,7.3,,0.8,,,,yes,
1331,DAMODAR AT DISHERGARH VILL.(NR.BIHAR-WB BORDER) ,23.6922971,86.8295645,Kolkata,WEST BENGAL,26.2,7.8,7.6,186,1.9,0.29,2182,9118.0,yes,
1332,DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE,23.6922971,86.8295645,Kolkata,WEST BENGAL,28.5,8.4,7.8,231,1.8,0.25,545,5445.0,yes,
1333,DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH,26.2884203,84.2526559,Kolkata,WEST BENGAL,27.9,8.3,7.9,271,2.1,0.29,1036,13146.0,yes,
1334,DAMODAR NEAR MUJHER MANA VILLAGE A/C TAMLA NALLAH,26.2884203,84.2526559,Kolkata,WEST BENGAL,29.5,6.3,8.0,457,3.9,1.97,6409,53000.0,yes,
1335,DAMODAR AT HALDIA D/S (2 KM AWAY FROM HALDIA TOWN),22.0666742,88.0698118,Kolkata,WEST BENGAL,27.8,6.2,7.6,7398,2.4,0.32,361250,1578750.0,yes,
2527,WATER INTAKE PT BURDWAN TOWN,23.2324214,87.8614792,Kolkata,WEST BENGAL,26.8,7.6,7.7,276,3.0,0.63,1320,7070.0,yes,
2392,BARAKAR AT MAITHAN DAM,23.850278,86.777778,Kolkata,WEST BENGAL,34.3,7.5,7.5,,1.3,,,,yes,
1336,BARAKAR AT ASANSOL (WATER INTAKE PT),23.6739452,86.9523954,Kolkata,WEST BENGAL,27.9,8.1,7.8,210,2.2,0.50,12282,62973.0,yes,
2390,KONAR AT TENUGHAT DAM,23.7255788,85.8360659,Kolkata,JHARKHAND,34.3,7.8,7.4,,0.8,,,,yes,
2509,"D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3",22.4329227,87.8598861,Kolkata,WEST BENGAL,27.6,6.5,7.7,901,2.0,0.31,44909,218455.0,yes,
1337,RUPNARAYAN B/C R. GANGA NR GEONKHALI,22.2021731,88.047923,Kolkata,WEST BENGAL,28.0,6.4,7.8,1496,1.2,0.38,55750,200917.0,yes,
2541,WATER INTAKE POINT - BANKURA TOWN ON R. DWARAKESHWAR,23.164543,87.062426,Kolkata,WEST BENGAL,27.5,8.0,7.6,283,2.6,0.29,860,6840.0,yes,
2531,U/S OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT,23.164543,87.062426,Kolkata,WEST BENGAL,27.7,5.7,7.5,465,5.3,1.35,80400,241400.0,yes,
2532,"D/S OF TARAPITH ON DWARKA, SATIGHAT",23.164543,87.062426,Kolkata,WEST BENGAL,28.0,5.6,7.5,523,4.2,0.97,15940,44700.0,yes,
2508,"D/S OF SILABATI AT GHATAL,",22.6636967,87.7468071,Kolkata,WEST BENGAL,27.9,7.1,7.7,257,2.3,0.30,72818,332818.0,yes,
2514,"JALANGI, D/S OF KRISHNA NAGAR",24.1279467,88.6904272,Kolkata,WEST BENGAL,28.2,7.9,7.7,378,4.4,0.45,20118,32727.0,yes,
1764,CHURNI D/S OF SANTIPUR TOWN,23.2645399,88.4380966,Kolkata,WEST BENGAL,28.8,4.8,7.6,450,2.4,0.41,32917,49000.0,yes,
2518,"CHURNI, MAJHADIA",23.2060462,88.5516516,Kolkata,WEST BENGAL,28.5,2.3,7.3,529,14.5,0.41,685909,986364.0,yes,
2517,"MATHA BHANGA, GOBINDAPUR",23.2060462,88.5516516,Kolkata,WEST BENGAL,28.4,1.9,7.2,514,16.1,0.48,1471818,2584545.0,yes,
2534,WATER INTAKE POINT FOR SURI TOWN ON R. MAYURAKSHI,23.9040878,87.524748,Kolkata,WEST BENGAL,26.7,7.6,7.8,159,2.2,0.18,1442,4329.0,yes,
2507,"D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MANDIR",22.4196972,87.3085505,Kolkata,WEST BENGAL,27.6,8.3,7.6,202,2.7,0.17,44273,311455.0,yes,
1946,MAHANANDA AT SILIGURI,26.7271012,88.3952861,Kolkata,WEST BENGAL,25.7,7.2,7.0,148,3.3,0.33,99818,179273.0,yes,
2525,"MAHANANDA D/S, RAMGHAT",26.7271012,88.3952861,Kolkata,WEST BENGAL,22.3,8.1,7.3,88,2.0,0.27,162818,585000.0,yes,
2572,"MAHANANDA AT THAKURGANJ, KISHANGANJ ROAD BRIDGE",26.4278342,88.1266983,Patna,BIHAR,25.7,7.3,7.7,384,2.7,,1533,3133.0,yes,
2549,U/S OF VINDYADHARI AT HAROA BDG,26.4278342,88.1266983,Kolkata,WEST BENGAL,25.7,1.6,7.7,4428,10.2,0.17,90364,167545.0,yes,
2550,D/S OF VINDYADHARI AT MALANCHA BURNING GHAT,26.4278342,88.1266983,Kolkata,WEST BENGAL,25.0,2.7,7.7,11409,4.2,0.64,42727,73182.0,yes,
2381,BOKARO AT JARANDI,23.3710229,85.3279582,Ranchi,JHARKHAND,,6.7,6.5,,2.6,,,,yes,
2396,JUMAR AT KANKE DAM,23.4097851,85.4014921,Ranchi,JHARKHAND,22.7,6.4,7.0,,3.8,,130,750.0,yes,
1260,BRAHMAPUTRA AT KHERGHAT (A/ C DIBANG & DIHANG),25.905961,93.72825,Dispur,ASSAM,23.3,7.9,7.3,128,2.6,0.13,180,1149.0,yes,
1030,BRAHMAPUTRA AT DIBRUGARH,25.905961,93.72825,Dispur,ASSAM,23.2,8.4,7.3,148,2.1,0.14,142,1561.0,yes,
1262,BRAHMAPUTRA AT NIMATIGHAT,26.8391734,94.2458905,Dispur,ASSAM,23.8,6.4,7.1,151,1.5,0.12,124,780.0,yes,
1526,BRAHMPUTRA AT DHENUKHAPAHAR,26.1445169,91.7362365,Dispur,ASSAM,24.3,7.7,7.5,152,2.1,0.16,160,982.0,yes,
1031,BRAHMAPUTRA AT PANDU,26.1445169,91.7362365,Dispur,ASSAM,25.4,7.3,7.3,159,1.5,0.15,386,1545.0,yes,
1299,BRAHMAPUTRA AT JOGIJHOGA ,26.1833004,91.7370002,Dispur,ASSAM,26.8,7.0,7.2,194,2.3,0.13,154,2225.0,yes,
2069,"BRAHMPUTRA NEAR WATER INTAKE PT AT KACHARIGHAT, PANBAZAR",26.1833004,91.7370002,Dispur,ASSAM,25.3,7.0,7.5,156,1.7,0.12,220,740.0,yes,
2064,BRAHMAPUTRA AT CHANDRAPUR,26.2295193,91.9196948,Dispur,ASSAM,26.4,7.4,7.4,153,1.9,0.12,200,363.0,yes,
2067,BRAHMPUTRA AT SUALKUCHI,26.1703301,91.570327,Dispur,ASSAM,26.0,7.8,7.3,169,1.1,0.16,600,1837.0,yes,
2066,BRAHMAPUTRA AT DHUBRI,26.0206982,89.9743462,Dispur,ASSAM,27.4,6.9,7.2,147,1.6,0.10,200,720.0,yes,
1799,TOWN BOUNDARY BDGE(DIPHU RD),25.9132489,93.7511268,Kohima,NAGALAND,23.0,4.0,7.8,199,1.8,,,,yes,
1797,BRIDGE NEAR PURANA BAZAAR,25.9132489,93.7511268,Kohima,NAGALAND,25.3,5.1,7.7,271,0.8,,,,yes,
1800,NUTON BASTI,25.9132489,93.7511268,Kohima,NAGALAND,25.3,1.1,7.4,287,3.4,,,,yes,
1798,NEAR CHECK GATE (DIMAPUR KHUTKHUTI ROAD),25.9132489,93.7511268,Kohima,NAGALAND,25.0,4.7,7.8,273,1.3,,,,yes,
1259,DHANSIRI AT GOLAGHAT,26.5238515,93.96233699,Dispur,ASSAM,28.5,6.6,7.1,173,1.6,,,,yes,
1928,"DHANSIRI AT NAGALAND-ASSAM BORDER, DIMAPUR",25.8629885,93.7536662,Kohima,NAGALAND,24.0,3.0,7.5,295,1.6,,,,yes,
1930,DZU D/S KOHIMA TOWN,25.6585963,94.1053306,Kohima,NAGALAND,20.5,4.5,8.0,420,0.9,,,,no,
1929,"CHATHE AT MEDZIPHEMA, DIMAPUR",25.8629885,93.7536662,Kohima,NAGALAND,26.3,4.2,7.8,172,0.8,,,,yes,
1261,"SUBANSIRI AT GEREKAMUKH,ASSAM,(B/C BRAH.)",27.5300397,94.2652147,Dispur,ASSAM,20.8,8.9,7.0,104,1.7,0.11,,91.0,yes,
2061,KHARSANG B/C BURIDIHING NEAR KHARSANG,27.4149096,95.9991228,Dispur,ASSAM,22.0,7.1,7.0,182,1.8,0.13,90,501.0,yes,
1422,BURHIDIHING AT MARGHERITA,27.2910662,95.6694605,Dispur,ASSAM,22.3,5.8,7.0,188,2.7,0.12,,607.0,yes,
2062,"BURIDIHING NR DULIAJAN AT D/S,",27.3572121,95.3222502,Dispur,ASSAM,24.0,5.7,6.6,129,2.1,0.13,100,767.0,yes,
2230,BURHIDIHING AT DULIAJAN (INTAKE POINT OF OIL INDIA LTD.),27.3572121,95.3222502,Dispur,ASSAM,24.0,6.1,6.6,129,4.6,0.16,200,1070.0,yes,
2065,"PAGLDIA  NALBARI TOWN, NALBARI",26.4446185,91.4410527,Dispur,ASSAM,26.3,6.9,7.9,242,1.2,0.12,120,244.0,yes,
1530,"DIGBOI AT LAKHIPATHE,RES. FOREST",27.4156838,95.538719,Dispur,ASSAM,23.5,6.0,6.7,141,3.6,0.11,,120.0,yes,
2063,"JAI BHARALI NEAR BISWANATH CHARALI, SONITPUR",26.6738851,92.8577104,Dispur,ASSAM,24.0,8.9,7.3,94,1.3,0.10,120,767.0,yes,
2237,"KALONG AT U/S OF ANANDARAM DEKIAL PHUKAN BRIDGE, NAGAON",26.3463713,92.6840426,Dispur,ASSAM,29.3,7.6,6.7,142,3.0,0.11,330,1515.0,yes,
2059,KOLONG AT MARIGAON,26.2599654,92.2630392,Dispur,ASSAM,27.7,7.1,7.6,111,1.6,0.11,233,487.0,yes,
2060,"MANAS AT NH-31 CROSSING, BARPETA, DISTRICT",26.3215985,90.9820667,Dispur,ASSAM,25.3,6.9,7.2,293,2.2,0.13,90,530.0,yes,
2058,"DISANG AT DILLIGHAT, DIBRUGARH ",27.4728327,94.911962,Dispur,ASSAM,22.0,5.8,7.3,178,2.9,0.16,120,1067.0,yes,
1298,DISANG AT GUNDAMGHAT,27.4728327,94.911962,Dispur,ASSAM,22.5,4.7,6.8,57,1.7,0.13,,560.0,yes,
1258,JHANJI AT N.H. CROSSING JORHAT,26.7465203,94.2025859,Dispur,ASSAM,23.5,6.4,7.1,106,2.3,0.15,,400.0,yes,
1527,BHOGDOI AT JORHAT ,26.7465203,94.2025859,Dispur,ASSAM,24.5,6.1,7.1,127,2.3,0.12,547,6033.0,yes,
1531,*MORA BHARALI  AT TEZPUR,26.6528495,92.7925592,Dispur,ASSAM,24.8,6.9,7.9,189,2.4,0.12,100,967.0,yes,
1423,BORAK AT PANCHAGRAM,26.6521907,92.7895702,Dispur,ASSAM,15.7,7.2,7.2,127,2.0,0.11,200,637.0,yes,
1528,BHARALU AT GUWAHATI,26.1445169,91.7362365,Dispur,ASSAM,27.3,0.0,7.1,739,41.5,0.27,970,8467.0,yes,
1529,DEEPAR BILL,26.1176941,91.6493531,Dispur,ASSAM,28.1,5.5,7.3,249,4.6,0.20,100,5243.0,yes,
2068,"U/S OF KATHAKAL ,MATIJURI",24.6518946,92.606739,Dispur,ASSAM,12.8,7.2,7.2,139,2.6,0.11,423,1100.0,yes,
1801,TEESTA A/C RIVERS LACHENCHU AND LACHUNGCHU AT CHUNGTHAANG,27.6039119,88.6464449,Gangtok,SIKKIM,,23.1,6.5,268,2.6,2.31,28,79.0,no,
1807,TEESTA A/C RANICHU AT SINGTAM,27.1364448,88.3931153,Gangtok,SIKKIM,,20.2,6.3,293,3.9,2.70,123,251.0,no,
1808,TEESTA A/C RANGICHU AFTER MEETING THE INDL EFFLUENTS FROM THE TOWN RANICHU,27.1364448,88.3931153,Gangtok,SIKKIM,,19.3,6.1,283,4.3,2.70,80,258.0,no,
1809,TEESTA AT MELLI DOWNSTREAM,27.1364448,88.3931153,Gangtok,SIKKIM,,18.6,6.2,288,4.3,2.80,101,404.0,no,
1947,TEESTA AT SILIGURI,26.7271012,88.3952861,Kolkata,WEST BENGAL,19.08333,8.6,7.3,111,2.9,0.25,77333,116167.0,yes,
1802,"DIKCHU B/C RIVER TEESTA NEAR NHPC HYDROELECTRIC POWER PROJECT, SIKKIM",27.5329718,88.5122178,Gangtok,SIKKIM,,22.9,6.4,278,2.4,2.30,27,91.0,no,
1803,"MANEY KHOLA AT BURTUK NEAR ARMY BASE CAMP, 4 KM        U/S OF GANGTOK, SIKKIM",27.5329718,88.5122178,Gangtok,SIKKIM,,22.4,6.5,293,3.2,2.32,35,114.0,yes,
1804,"MANEY KHOLA A/C RAY KHOLA AT ADAMPOOL AFTER MEETING WASTE OF STP, GANGTOK ",27.3389356,88.6065035,Gangtok,SIKKIM,,23.1,6.2,256,3.3,2.37,37,132.0,no,
